,text,environmental,action
79,"Lithium—Raw Materials and Significant Supply ContractsWe obtain lithium through solar evaporation of our ponds at the Salar de Atacama, in Chile, and in Silver Peak, Nevada.",environmental,none
88,"In 2016, we were granted approval by the Environmental Assessment Commission of the Antofagasta Region to increase our currently authorized lithium brine removal rate in the Salar de Atacama, in addition to amending our lithium production rights agreement with the Chilean Economic Development Agency to both extend the term of that agreement and increase our authorized lithium quota at our facility in the Salar de Atacama, Chile.",environmental,action
89,The agreement provides for commission payments to the Chilean government based on sales price/MT and our support of research and development in Chile in lithium applications and solar energy.,environmental,none
91,"In September 2017, we announced that we have developed an innovative technology that could lead to a sustainable increase in total lithium production in Chile to as much as 125,000 metric tons of lithium carbonate equivalent annually, without the need for additional brine pumping at the Salar de Atacama.",environmental,action
94,"Our mineral rights in Silver Peak, Nevada consist of our right to access lithium brine pursuant to our permitted and certified senior water rights, a settlement agreement with the U.",environmental,none
97,"Pursuant to the 1991 agreement, our water rights and our land claims, we have rights to all lithium that we can remove economically from the Clayton Valley Basin in Nevada.",environmental,none
103,"Based on our 2017 production levels, we believe that the amount of lithium brine we can economically obtain from our Silver Peak, Nevada site pursuant to our rights could support the current levels of lithium carbonate production for approximately 20 years.",environmental,none
160,"Their application enables the upgrading of oil fractions to clean fuels and other usable oil feedstocks and products by removing sulfur, nitrogen and other impurities from the feedstock.",environmental,none
161,"In addition, they improve product properties by adding hydrogen and in some cases improve the performance of downstream catalysts and processes.",environmental,action
164,"Our FCC additives are used to reduce emissions of sulfur dioxide and nitrogen oxide in FCC units and to increase liquefied petroleum gas olefins yield, such as propylene, and to boost octane in gasoline.",environmental,none
190,"Through research and development, we continue to seek increased margins by introducing value-added products and proprietary processes and innovative green chemistry technologies.",environmental,action
191,"Our green chemistry efforts focus on the development of products in a manner that minimizes waste and the use of raw materials and energy, avoids the use of toxic reagents and solvents and utilizes safe, environmentally friendly manufacturing processes.",environmental,action
192,Green chemistry is encouraged with our researchers through periodic focus group discussions and special rewards and recognition for outstanding new green developments.,environmental,action
204,"We devote significant resources and have developed and implemented comprehensive programs to promote the health and safety of our employees and we maintain an active health, safety and environmental program.",environmental,action
224,"Historically, there has been scrutiny of certain brominated flame retardants by regulatory authorities, legislative bodies and environmental interest groups in various countries.",environmental,none
226,Concern about the impact of some of our products on human health or the environment may lead to regulation or reaction in our markets independent of regulation.,environmental,none
227,"Environmental RegulationWe are subject to numerous foreign, federal, state and local environmental laws and regulations, including those governing the discharge of pollutants into the air and water, the management and disposal of hazardous substances and wastes and the cleanup of contaminated properties.",environmental,none
231,7Albemarle Corporation and Subsidiaries We use and generate hazardous substances and wastes in our operations and may become subject to claims for personal injury and/or property damage relating to the release of such substances into the environment.,environmental,none
232,"In addition, some of our current properties are, or have been, used for industrial purposes, which could contain currently unknown contamination that could expose us to governmental requirements or claims relating to environmental remediation, personal injury and/or property damage.",environmental,none
233,"Liabilities associated with the investigation and cleanup of hazardous substances, as well as personal injury, property damages or natural resource damages arising from the release of, or exposure to, such hazardous substances, may be imposed in many situations without regard to violations of laws or regulations or other fault, and may also be imposed jointly and severally .",environmental,none
235,"We are subject to such laws, including the federal Comprehensive Environmental Response, Compensation and Liability Act, commonly known as CERCLA or Superfund, in the U.",environmental,none
243,Accruals for these matters are included in the environmental reserve.,environmental,none
244,"Our management is actively involved in evaluating environmental matters and, based on information currently available to us, we have concluded that our outstanding environmental liabilities for unresolved waste sites currently known to us should not have a material effect on our operations.",environmental,action
245,See “Safety and Environmental Matters” in Item 7.,environmental,none
247,Climate ChangeThe growing concerns about climate change and the related increasingly stringent regulations may provide us with new or expanded business opportunities.,environmental,none
248,"We provide solutions to companies pursuing alternative fuel products and technologies, emission control technologies, alternative transportation vehicles and energy storage technologies and other similar solutions.",environmental,action
249,"As demand for, and legislation mandating or incentivizing the use of, alternative fuel technologies that limit or eliminate greenhouse gas emissions increase, we continue to monitor the market and offer solutions where we have appropriate technology and believe we are well positioned to take advantage of opportunities that may arise from such demand or legislation.",environmental,action
275,"Through the acquisition of Rockwood, we became a leading integrated and low cost global producer of lithium and lithium compounds used in lithium-ion batteries for electronic devices, alternative transportation vehicles and energy storage technologies, meeting the significant growth in global demand for these products.",environmental,none
292,"Our Corporate Governance Guidelines, Code of Conduct and the charters of the Audit and Finance, Health, Safety and Environment, Executive Compensation, and Nominating and Governance Committees of our Board of Directors are also available on our website and are available in print to any shareholder upon request by writing to Investor Relations, 4350 Congress Street, Suite 700, Charlotte, North Carolina 28209, or by calling  299-5700.",environmental,none
373,"Sales of our agrichemicals are also subject to fluctuation as demand varies depending on climate and other environmental conditions, which may prevent or reduce farming for extended periods.",environmental,none
376,We manufacture or market a number of products that are or have been the subject of attention by regulatory authorities and environmental interest groups.,environmental,none
377,"For example, over the past decade, there has been increasing scrutiny of certain brominated flame retardants by regulatory authorities, legislative bodies and environmental interest groups in various countries.",environmental,none
378,"We manufacture a broad range of brominated flame retardant products, which are used in a variety of applications to protect people, property and the environment from injury and damage caused by fire.",environmental,none
379,"Concern about the impact of some of our products on human health or the environment may lead to regulation, or reaction in our markets independent of regulation, that could reduce or eliminate markets for such products.",environmental,none
380,"Agencies in the European Union continue to evaluate the risks to human health and the environment associated with certain brominated flame retardants such as tetrabromobisphenol A and decabromodiphenylethane, both of which we manufacture.",environmental,none
382,"In addition, the threat of additional regulation or concern about the impact of brominated flame retardants on human health or the environment could lead to a negative reaction in our markets that could reduce or eliminate our markets for these products, which could have an adverse effect on our sales and profitability.",environmental,none
411,"Our business is subject to hazards common to chemical manufacturing, storage, handling and transportation, including explosions, fires, inclement weather, natural disasters, mechanical failure, unscheduled downtime, transportation interruptions, remediation, chemical spills, discharges or releases of toxic or hazardous substances or gases and other risks.",environmental,none
412,"These hazards can cause personal injury and loss of life to our employees and other persons, severe damage to, or destruction of, property and equipment and environmental contamination.",environmental,none
415,"Our business could be adversely affected by environmental, health and safety laws and regulations.",environmental,none
416,"The nature of our business, including historical operations at our current and former facilities, exposes us to risks of liability under environmental laws and regulations due to the production, storage, use, transportation and sale of materials that can cause contamination or personal injury if released into the environment.",environmental,none
