,text,environmental,action
43,"the energy and petrochemical industries are highly competitive, both within the industries and also with other industries in supplying the energy, fuel and chemical needs of industrial and individual consumers.",environmental,none
68,"risk factors in this report, compliance with existing and potential future government regulations, including taxes, environmental regulations, and other government regulations and policies that directly or indirectly affect the production and sale of our products, may have material effects on the capital expenditures, earnings, and competitive position of exxonmobil.",environmental,none
69,"with respect to the environment, throughout exxonmobil’s businesses, new and ongoing measures are taken to prevent and minimize the impact of our operations on air, water and ground, including, but not limited to, compliance with environmental regulations.",environmental,action
70,"these include a significant investment in refining infrastructure and technology to manufacture clean fuels, as well as projects to monitor and reduce nitrogen oxide, sulfur oxide and greenhouse gas emissions, and expenditures for asset retirement obligations.",environmental,action
71,"using definitions and guidelines established by the american petroleum institute, exxonmobil’s 2020 worldwide environmental expenditures for all such preventative and remediation steps, including exxonmobil’s share of equity company expenditures, were $4.",environmental,none
112,"a number of countries limit access to their oil and gas resources, including by restricting leasing or permitting activities, or may place resources off-limits from development altogether.",environmental,none
113,restrictions on production of oil and gas could increase to the extent governments view such measures as a viable approach for pursuing national and global energy and climate policies.,environmental,none
120,"some countries in which we do business lack well-developed legal systems, or have not yet adopted, or may be unable to maintain, clear regulatory frameworks for oil and gas development.",environmental,none
128,climate change and greenhouse gas restrictions.,environmental,none
129,"driven by concern over the risks of climate change, a number of countries have adopted, or are considering the adoption of, regulatory frameworks to reduce greenhouse gas emissions or production and use of oil and gas.",environmental,action
130,"these include adoption of cap and trade regimes, carbon taxes, trade tariffs, minimum renewable usage requirements, restrictive permitting, increased efficiency standards, and incentives or mandates for renewable energy.",environmental,action
131,"political and other actors and their agents also increasingly seek to advance climate change objectives indirectly, such as by seeking to reduce the availability of or increase the cost for, financing and investment in the oil and gas sector and taking actions intended to promote changes in business strategy for oil and gas companies.",environmental,action
132,"depending on how policies are formulated and applied, they could have the potential to negatively affect investment returns, make our products more expensive or less competitive, lengthen project implementation times, and reduce demand for hydrocarbons, as well as shift hydrocarbon demand toward relatively lower-carbon sources such as natural gas.",environmental,none
133,"current and pending greenhouse gas regulations or policies may also increase our compliance costs, such as for monitoring or sequestering emissions.",environmental,none
134,3alternative energy.,environmental,none
135,many governments are providing tax advantages and other subsidies to support transitioning to alternative energy sources or are mandating the use of specific fuels or technologies.,environmental,action
136,governments and others are also promoting research into new technologies to reduce the cost and increase the scalability of alternative energy sources.,environmental,action
140,"our research projects focus on developing advanced biofuels and hydrogen, carbon capture and storage, breakthrough energy efficiency processes, advanced energy-saving materials, and other technologies in collaboration with our partners including synthetic genomics, fuelcell energy and global thermostat.",environmental,action
141,our future results may depend in part on the success of our research efforts and on our ability to adapt and apply the strengths of our current business model to providing the energy products of the future in a cost-competitive manner.,environmental,action
160,"to maintain our competitive position, especially in light of the technological nature of our businesses and the need for continuous efficiency improvement, exxonmobil’s research and development organizations must be successful and able to adapt to a changing market and policy environment, including developing technologies to help reduce greenhouse gas emissions.",environmental,action
162,"safety, business controls, and environmental risk management.",environmental,none
