,text,environmental,action
199,"in august 2017, we separated our titanium dioxide and performance additives business through an initial public offering of ordinary shares of venator.",environmental,action
253," our spf products offer significant environmental benefits, as our proprietary manufacturing process transforms low quality pet plastic bottles into highly effective energy-saving polyurethane insulation.",environmental,action
268,"we believe that mdi and formulated mdi systems, which combine mdi and polyols, will continue to grow at approximately double the rate of global gdp driven by the mega trends of energy management, food preservation, demographics and urbanization/transportation.",environmental,none
269,"mdi offers key products benefits of energy efficiency, comfort and durability aligned with these megatrends.",environmental,none
344,"we believe we are the largest global producer of polyetheramines, one of the largest producers of 2- ethanol, sold under our dga™ brand, the largest global producer making the full range of ethyleneamines, the second largest producer of morpholine and a leading global producer of low emission polyurethane catalysts.",environmental,none
394,"  raw materials   the main raw materials used in the production of our amines are eo, po, glycols, edc, caustic soda, ammonia, hydrogen, methylamines and acrylonitrile.",environmental,none
411,"we sell to over 2,000 customers in the following end markets: aerospace, automotive, oil and gas, liquid natural gas transport, coatings and construction, printed circuit boards, consumer, industrial and automotive electronics, consumer and industrial appliances, wind power generation, electrical power transmission and distribution, recreational sports equipment, medical appliances and food and beverage packaging.",environmental,none
423,"our materials address requirements such as long open times for large area applications, fast-curing adhesives for early removal and rapid through-put, resistance to high temperature, water and chemicals, thixotropy for gap-filling or vertical applications, and toughness, impact-resistance and elasticity to cope with different thermal expansions when bonding larger structures.",environmental,none
429,"    the strong global push for e-vehicles opens new opportunities in e-motor thermal management and battery performance enhancement with our innovative encapsulants, toughening agents and carbon materials.",environmental,action
433,"our product technologies enhance performance and productivity at low voc and environmental impact in several coatings and construction applications, like heavy duty protection, marine, transportation, food packaging, flooring and chemical anchoring.",environmental,none
434,  wind and base resins.,environmental,none
482,  wind and base resins.,environmental,none
483,the wind market for thermoset resins is being driven by light weighting and energy efficiency and our product offering with standard products and custom-made formulations allows for competitively priced solutions backed by an effective supply chain.,environmental,none
492,"increased environmental regulations, particularly in many parts of asia, and consumer awareness about the environmental impact of the apparel industry has resulted in increased demand for sustainably produced textiles.",environmental,none
493,"we are at the forefront of developing sustainable textiles with advanced technology such as non-fluorinated durable water repellence, and eco-friendly digital printing.",environmental,action
494,"our award-winning avitera® reactive dyeing technology meets global industry environmental standards and helps textile mills increase yield, improve productivity and reduce processing costs by significantly reducing water and energy consumption.",environmental,action
500,we develop and offer processes for technological applications of dyes that enable our customers to improve their production yield and reduce their water and energy consumption.,environmental,action
507,we work to provide the right balance of products and service to meet the technical and environmental challenges in each of these markets.,environmental,action
512,"the textile effects segment’s avitera® dyes meet global industry environmental standards and helps textile mills increase yield, improve productivity and reduce processing costs by reducing water and energy consumption.",environmental,action
513,"pretreatment and dyeing auxiliaries ensure that these fabrics are processed efficiently and effectively—cleaning the fabrics with fewer chemicals, less energy and less water and thereby minimizing the environmental footprint and reducing the processing costs.",environmental,action
535,"process competence, which we define as applying know-how and expertise to improve customers’ processes, allows us to utilize our technical service to reduce cost, enhance efficiency and offer recommendations to improve the ecological and environmental footprint in the wet processing of textiles.",environmental,action
550,we are a leader in environmentally sustainable chemistry with products that help customers enhance efficiency and reduce their environmental footprint.,environmental,none
552,"in addition, we engage regularly with downstream brands and retailers on industry and sustainability issues.",environmental,action
579," our key areas of focus include:   health and safety: our global health and safety programs are designed around dedicated environmental, health and safety standards and procedures specifically tailored at the facility level to address the different jurisdictions and regulations, specific operating hazards and unique working environments.",environmental,none
580,the company’s objectives focus on regulatory compliance and protection of people and the environment.,environmental,none
601,"  environmental, health and safety matters   general   we are subject to extensive federal, state, local and international laws, regulations, rules and ordinances relating to occupational health and safety, process safety, pollution, protection of the environment and natural resources, product management and distribution, and the generation, storage, handling, transportation, treatment, disposal and remediation of hazardous substances and waste materials.",environmental,none
602,"in the ordinary course of business, we are subject to frequent environmental inspections and monitoring and occasional investigations by governmental enforcement authorities.",environmental,none
604,"actual or alleged violations of safety laws, environmental laws or permit requirements could result in restrictions or prohibitions on plant operations or product distribution, substantial civil or criminal sanctions, or injunctions limiting or prohibiting our operations altogether.",environmental,none
605,"in addition, some environmental laws may impose liability on a strict, joint and several basis.",environmental,none
606,"moreover, changes in environmental regulations could inhibit or interrupt our operations, or require us to modify our facilities or operations and make significant environmental compliance expenditures.",environmental,none
607,"accordingly, environmental or regulatory matters may cause us to incur significant unanticipated losses, costs or liabilities.",environmental,none
610,summary of significant accounting policies—environmental expenditures” to our consolidated financial statements and “note 22.,environmental,none
611,environmental health and safety matters” to our consolidated financial statements.,environmental,none
615,"  environmental remediation   we have incurred, and we may in the future incur, liabilities to investigate and clean up waste or contamination at our current or former facilities or facilities operated by third parties at which we may have disposed of waste or other materials.",environmental,none
