,text,environmental,action
1,"htm 10-K 10-K bazadebezolkohpepadr=1656915796 UNITED STATESSECURITIES AND EXCHANGE COMMISSIONWASHINGTON, D.",environmental,none
51,"PPG’s vision is to be the world’s leading coatings company by consistently delivering high-quality, innovative and sustainable solutions that customers trust to protect and beautify their products and surroundings.",environmental,none
99,"PPG’s major markets are commercial and residential construction and the wind energy, energy infrastructure, transportation and electronics industries.",environmental,none
142,"Coatings raw materials, which include both organic, primarily petroleum based, materials and inorganic materials, including titanium dioxide, comprise between 70% and 80% of cost of goods sold, excluding depreciation and amortization, in most coatings formulations and represent PPG’s single largest production cost component.",environmental,none
143,"Energy is a significant production cost in the Glass segment, and our primary energy source is natural gas.",environmental,none
144,"Natural gas is expected to remain a competitive fuel source when compared to alternatives, especially on a global basis.",environmental,none
145,We will continue to use competitive sourcing and consumption reduction initiatives to manage natural gas costs.,environmental,action
151,"These initiatives include qualifying multiple and local sources of supply, including suppliers from Asia and other lower cost regions of the world and a reduction in the amount of titanium dioxide used in our product formulations.",environmental,action
152,Our global efforts to reduce titanium dioxide consumption have been successful to date and are expected to continue.,environmental,action
153," Titanium dioxide is a raw material widely used in the paint and coatings industry as a pigment to provide hiding, durability and whiteness characteristics.",environmental,none
155,"The Company has undertaken a strategic initiative to secure and enhance PPG’s supply of titanium dioxide, as well as to minimize PPG’s use of this raw material.",environmental,action
160,", under which PPG has licensed certain chloride-based titanium dioxide technologies for use at Billions’ titanium dioxide refinement facilities in China.",environmental,none
161,"In addition, PPG has signed a long-term purchase agreement for titanium dioxide with Billions.",environmental,none
162,"In the fourth quarter of 2015, PPG began using chloride-grade titanium dioxide produced in commercial quantities by Billions using PPG’s licensed chloride-based technology.",environmental,action
164,Billions may also elect to sell its chloride-based titanium dioxide to third parties.,environmental,none
211,Environmental MattersPPG is subject to existing and evolving standards relating to protection of the environment.,environmental,none
212,"PPG is negotiating with various government agencies concerning 126 current and former manufacturing sites and offsite waste disposal locations, including 24 sites on the National Priority List.",environmental,action
213,"While PPG is not generally a major contributor of wastes to these offsite waste disposal locations, each potentially responsible party may face governmental agency assertions of joint and several liability.",environmental,none
217,12 2015 PPG ANNUAL REPORT AND FORM 10-KThe Company’s experience to date regarding environmental matters leads it to believe that it will have continuing expenditures for compliance with provisions regulating the protection of the environment and for present and future remediation efforts at waste and plant sites.,environmental,none
219,"In addition to the $233 million currently reserved for environmental remediation efforts, we may be subject to loss contingencies related to environmental matters estimated to be approximately $75 million to $200 million.",environmental,none
220,These reasonably possible unreserved losses relate to environmental matters at a number of sites.,environmental,none
222,"Capital expenditures for environmental control projects were $15 million, $14 million and $22 million in 2015, 2014, and 2013, respectively.",environmental,none
224,"Although future capital expenditures are difficult to estimate accurately because of constantly changing regulatory standards and policies, it can be anticipated that environmental control standards will become increasingly stringent and the cost of compliance will increase.",environmental,none
225,"In management’s opinion, the Company operates in an environmentally sound manner, is well positioned, relative to environmental matters, within the industries in which it operates and the outcome of these environmental contingencies will not have a material adverse effect on PPG’s financial position or liquidity; however, any such outcome may be material to the results of operations of any particular period in which costs, if any, are recognized.",environmental,none
226,"See Note 13, “Commitments and Contingent Liabilities,” under Item 8 of this Form 10-K for additional information related to environmental matters and our accrued liability for estimated environmental remediation costs.",environmental,none
227,"Public and governmental concerns related to climate change continue to grow, leading to efforts to limit the greenhouse gas emissions believed to be responsible.",environmental,none
228,"While PPG has operations in many countries, a substantial portion of PPG’s GHG emissions are generated by locations in the U.",environmental,none
231,"PPG has, and will continue to, annually report our global GHG emissions to the voluntary Carbon Disclosure project.",environmental,action
232,"Since PPG’s GHG emissions arise principally from combustion of fossil fuels, PPG has for some time recognized the desirability of reducing energy consumption and GHG generation.",environmental,none
233,"For the three year period ended December 31, 2015, energy consumption was reduced by 23% and GHG emission generation was reduced by 18%.",environmental,none
236,"Department of Energy, BETTER BUILDINGS®, BETTER PLANTS® program, formerly the SAVE ENERGY NOW® Leadership program, and the Environmental Protection Agency ENERGY STAR® Industrial Partnership program, both reinforcing the company’s voluntary efforts to significantly reduce its industrial energy intensity.",environmental,action
