,text,environmental,action
40,"our products include some of the most widely used chemicals in the world, which are fundamental to many diverse consumer and industrial markets, including flexible and rigid packaging, automotive products, coatings, water treatment, refrigerants, residential and commercial construction as well as other durable and non-durable goods.",environmental,none
87,"in addition, we produce ethylene co-products including chemical grade propylene, crude butadiene, pyrolysis gasoline and hydrogen.",environmental,none
116,we own a 50% interest in a 104-mile natural gas liquids pipeline from mont belvieu to our lake charles site.,environmental,none
147,"we also produce chlorine, caustic soda, hydrogen and chlorinated derivative products at our natrium, west virginia, longview, washington and beauharnois, quebec facilities and pvc resin and pvc compounds at several facilities in mississippi.",environmental,none
187,"the majority of our chlorinated derivative products are sold to external customers who use these products for, among other things, refrigerants, water treatment applications, chemicals and pharmaceutical production, food processing, steel pickling, solvent and cleaning chemicals and natural gas and oil production.",environmental,none
196,"products made from pvc are used in construction materials ranging from water and sewer systems to home and commercial applications for siding, trim, mouldings, fence, deck, window and door systems.",environmental,none
212,"electricity and steam for one of our lake charles facilities are produced by both on-site cogeneration units and through a toll arrangement with rs cogen, llc, a joint venture in which we own a 50% interest.",environmental,none
249,"environmentalas is common in our industry, we are subject to environmental laws and regulations related to the use, storage, handling, generation, transportation, emission, discharge, disposal and remediation of, and exposure to, hazardous and non-hazardous substances and wastes in all of the countries in which we do business.",environmental,none
250,"national, state or provincial and local standards regulating air, water and land quality affect substantially all of our manufacturing locations around the world.",environmental,none
252,"it is our policy to comply with all environmental, health and safety requirements and to provide safe and environmentally sound workplaces for our employees.",environmental,none
254,"in 2017, we made capital expenditures of $15 million related to environmental compliance.",environmental,action
255,"we estimate that we will make capital expenditures of approximately $42 million in 2018 and $42 million in 2019, respectively, related to environmental compliance.",environmental,none
256,the expected 2018 and 2019 capital expenditures are relatively higher than the amounts we have spent related to environmental compliance in recent years in large part due to capital expenditures related to environmental protection agency regulations and requirements with respect to the axiall chlor-alkali sites.,environmental,none
258,we anticipate that stringent environmental regulations will continue to be imposed on us and the industry in general.,environmental,none
260,"from time to time, we receive notices or inquiries from government entities regarding alleged violations of environmental laws and regulations pertaining to, among other things, the disposal, emission and storage of chemical substances, including hazardous wastes.",environmental,none
261,"item 103 of the sec's regulation s-k requires disclosure of certain environmental matters when a governmental authority is a party to the proceedings and the proceedings involve potential monetary sanctions, unless we reasonably believe such sanctions would not exceed $100,000.",environmental,none
