"","PARENT COMPANIES","REPORTING YEAR","GHG QUANTITY (METRIC TONS CO2e)"
"1","Air Products",2010,9418641
"2","Air Products",2011,10451301
"3","Air Products",2012,10868083
"4","Air Products",2013,11648318
"5","Air Products",2014,12306067
"6","Air Products",2015,12376081
"7","Air Products",2016,12212587
"8","Air Products",2017,12358735
"9","Air Products",2018,12441209
"10","Air Products",2019,12567862
"11","Air Products",2020,11509097
"12","Air Products",2021,12345183
"13","Air Products",2022,13342140
"14","Celanese",2010,493207
"15","Celanese",2011,414041
"16","Celanese",2012,475486
"17","Celanese",2013,419030
"18","Celanese",2014,453779
"19","Celanese",2015,550640
"20","Celanese",2016,618191
"21","Celanese",2017,621492
"22","Celanese",2018,696689
"23","Celanese",2019,1556746
"24","Celanese",2020,1355753
"25","Celanese",2021,1198859
"26","Celanese",2022,1220407
"27","Exxon Mobil",2010,1221854
"28","Exxon Mobil",2011,1338601
"29","Exxon Mobil",2012,1432069
"30","Exxon Mobil",2013,1280506
"31","Exxon Mobil",2014,1217718
"32","Exxon Mobil",2015,845383
"33","Exxon Mobil",2019,371842
"34","Exxon Mobil",2020,285904
"35","Exxon Mobil",2021,492943
"36","Exxon Mobil",2022,1850255
"37","Honeywell",2010,5187535
"38","Honeywell",2011,5000129
"39","Honeywell",2012,4526329
"40","Honeywell",2013,2338228
"41","Honeywell",2014,2201118
"42","Honeywell",2015,2053828
"43","Honeywell",2016,611815
"44","Honeywell",2017,686142
"45","Honeywell",2018,795400
"46","Honeywell",2019,687982
"47","Honeywell",2020,667048
"48","Honeywell",2021,664189
"49","Honeywell",2022,526828
"50","Huntsman",2010,1424762
"51","Huntsman",2011,1253289
"52","Huntsman",2012,1284048
"53","Huntsman",2013,1265337
"54","Huntsman",2014,1358649
"55","Huntsman",2015,1586143
"56","Huntsman",2016,1648675
"57","Huntsman",2017,1709079
"58","Huntsman",2018,1375203
"59","Huntsman",2019,1436207
"60","Huntsman",2020,115550
"61","Huntsman",2021,113841
"62","Huntsman",2022,112151
"63","Linde",2010,3082156
"64","Linde",2011,3297983
"65","Linde",2012,3340232
"66","Linde",2013,3195895
"67","Linde",2014,3336011
"68","Linde",2015,3212002
"69","Linde",2016,3454933
"70","Linde",2017,3505087
"71","Linde",2018,3665796
"72","Linde",2019,791675
"73","Linde",2020,7265304
"74","Linde",2021,9451343
"75","Linde",2022,9799485
"76","Lyondell",2010,5021283
"77","Lyondell",2011,5107333
"78","Lyondell",2012,5028933
"79","Lyondell",2013,5306444
"80","Lyondell",2014,5195501
"81","Lyondell",2015,5905220
"82","Lyondell",2016,5073462
"83","Lyondell",2017,5508997
"84","Lyondell",2018,5710299
"85","Lyondell",2019,6697789
"86","Lyondell",2020,5952208
"87","Lyondell",2021,6748591
"88","Lyondell",2022,6649201
"89","Mosaic",2010,1631834
"90","Mosaic",2011,1111771
"91","Mosaic",2012,2047344
"92","Mosaic",2013,1793504
"93","Mosaic",2014,1852025
"94","Mosaic",2015,1944452
"95","Mosaic",2016,1896890
"96","Mosaic",2017,1385915
"97","Mosaic",2018,1607550
"98","Mosaic",2019,1221831
"99","Mosaic",2020,1457894
"100","Mosaic",2021,1305790
"101","Mosaic",2022,1309315
"102","PPG Industries",2010,2381974
"103","PPG Industries",2011,2305881
"104","PPG Industries",2012,2283507
"105","PPG Industries",2013,93976
"106","PPG Industries",2014,108633
"107","PPG Industries",2015,119883
"108","PPG Industries",2016,95559
"109","PPG Industries",2017,144129
"110","PPG Industries",2018,118938
"111","PPG Industries",2019,127764
"112","PPG Industries",2020,75142
"113","PPG Industries",2021,82618
"114","PPG Industries",2022,88398
"115","Westlake",2010,1743487
"116","Westlake",2011,1750963
"117","Westlake",2012,1630491
"118","Westlake",2013,1822781
"119","Westlake",2014,2842814
"120","Westlake",2015,1636191
"121","Westlake",2016,2726171
"122","Westlake",2017,3372228
"123","Westlake",2018,3257308
"124","Westlake",2019,4471794
"125","Westlake",2020,5731101
"126","Westlake",2021,5959319
"127","Westlake",2022,5614694
